text_features,speeding,signal_violation,careless_driving,distracted,wrong_lane,drink_drive,LATITUDE,LONGITUDE
unsafe speed unspecified,0,0,0,0,0,0,40.635063,-73.94788
unspecified,0,0,0,0,0,0,40.804153,-73.91304
other vehicular following too closely unspecified,0,0,1,0,0,0,40.676403,-73.96287
unspecified,0,0,0,0,0,0,40.829777,-73.85055
brakes defective unspecified unspecified,0,0,0,0,0,0,40.613926,-74.030174
failure to yield right-of-way,0,1,0,0,0,0,40.635563,-73.89577
passing too closely unspecified,0,0,1,0,0,0,40.675167,-73.825264
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.761486,-73.96061
passing or lane usage improper unspecified,0,0,0,0,0,0,40.712284,-73.964005
following too closely following too closely,0,0,1,0,0,0,40.70546,-73.7949
failure to yield right-of-way,0,1,0,0,0,0,40.74967,-73.99531
driver inattention/distraction unspecified,0,0,0,1,0,0,40.833786,-73.94037
traffic control disregarded unspecified,0,1,0,0,0,0,40.67794,-73.8023
backing unsafely unspecified,0,0,0,0,0,0,40.637985,-74.0076
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.9046,-73.852936
driver inattention/distraction unspecified,0,0,0,1,0,0,40.742508,-73.91788
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.67046,-73.88788
following too closely unspecified,0,0,1,0,0,0,40.72224,-73.9863
traffic control disregarded unspecified,0,1,0,0,0,0,40.67639,-73.97189
following too closely unspecified,0,0,1,0,0,0,40.88893,-73.86579
traffic control disregarded unspecified unspecified,0,1,0,0,0,0,40.80118,-73.93975
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.757668,-73.95915
driver inattention/distraction unspecified,0,0,0,1,0,0,40.668896,-73.95339
unspecified unspecified unspecified,0,0,0,0,0,0,40.63654,-73.97707
unspecified,0,0,0,0,0,0,40.831055,-73.905846
passing too closely unspecified,0,0,1,0,0,0,40.85868,-73.89922
driver inattention/distraction unspecified,0,0,0,1,0,0,40.62466,-74.17856
unspecified,0,0,0,0,0,0,40.63947,-73.902756
unspecified,0,0,0,0,0,0,40.86173,-73.91182
unspecified,0,0,0,0,0,0,40.69538,-73.985115
unspecified unspecified,0,0,0,0,0,0,40.63063,-74.00923
turning improperly unspecified,0,0,0,0,0,0,40.82707,-73.87075
unspecified unspecified,0,0,0,0,0,0,40.60548,-73.93922
unspecified unspecified,0,0,0,0,0,0,40.692593,-73.91551
driver inattention/distraction unspecified,0,0,0,1,0,0,40.680664,-73.902626
passing too closely unspecified,0,0,1,0,0,0,40.645718,-73.95002
traffic control disregarded unspecified,0,1,0,0,0,0,40.68327,-73.95016
unspecified,0,0,0,0,0,0,40.84036,-73.91807
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.577652,-73.96344
passenger distraction unspecified,0,0,0,1,0,0,40.730145,-73.99781
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.67478,-73.806206
unspecified unspecified,0,0,0,0,0,0,40.624622,-73.97598
passing or lane usage improper unspecified,0,0,0,0,0,0,40.67271,-73.97089
reaction to uninvolved vehicle driver inattention/distraction,0,0,0,1,0,0,40.7314,-73.926094
failure to yield right-of-way,0,1,0,0,0,0,40.632786,-74.13712
backing unsafely unspecified,0,0,0,0,0,0,40.596733,-74.07045
backing unsafely unspecified,0,0,0,0,0,0,40.617645,-73.92092
passing or lane usage improper unspecified,0,0,0,0,0,0,40.68651,-73.98378
driver inattention/distraction unspecified,0,0,0,1,0,0,40.69831,-73.9498
reaction to uninvolved vehicle unspecified,0,0,0,0,0,0,40.692455,-73.76814
backing unsafely,0,0,0,0,0,0,40.778805,-73.974075
passing or lane usage improper unspecified,0,0,0,0,0,0,40.747894,-73.989174
following too closely unspecified,0,0,1,0,0,0,40.83578,-73.871445
driver inattention/distraction unspecified,0,0,0,1,0,0,40.61763,-74.133575
driver inattention/distraction unspecified,0,0,0,1,0,0,40.731407,-73.99698
fell asleep unspecified,0,0,0,0,0,0,40.60784,-73.961975
unspecified unspecified unspecified,0,0,0,0,0,0,40.752563,-73.74328
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.67848,-73.98232
driver inattention/distraction unspecified,0,0,0,1,0,0,40.629475,-74.004166
driver inattention/distraction unspecified,0,0,0,1,0,0,40.668797,-73.93113
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.754707,-73.99164
driver inattention/distraction unspecified,0,0,0,1,0,0,40.85713,-73.8808
unsafe speed unspecified,0,0,0,0,0,0,40.857418,-73.89996
unsafe speed,0,0,0,0,0,0,40.702972,-73.888054
failure to yield right-of-way,0,1,0,0,0,0,40.786366,-73.97598
passing or lane usage improper unspecified,0,0,0,0,0,0,40.624474,-74.00668
unspecified unspecified,0,0,0,0,0,0,40.76532,-73.771904
driver inattention/distraction unspecified,0,0,0,1,0,0,40.597683,-73.96686
traffic control disregarded unspecified,0,1,0,0,0,0,40.609768,-74.06969
following too closely unspecified,0,0,1,0,0,0,40.798286,-73.938705
unspecified,0,0,0,0,0,0,40.776764,-73.848015
unspecified,0,0,0,0,0,0,40.747498,-73.91309
following too closely unspecified,0,0,1,0,0,0,40.701637,-73.942276
unsafe speed unspecified,0,0,0,0,0,0,40.69349,-73.826546
unsafe speed,0,0,0,0,0,0,40.726463,-73.85943
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.856434,-73.886826
turning improperly unspecified,0,0,0,0,0,0,40.87151,-73.87057
passing or lane usage improper unspecified,0,0,0,0,0,0,40.68686,-73.96758
alcohol involvement driver inattention/distraction,0,0,0,1,0,1,40.624763,-73.96518
passing or lane usage improper unspecified,0,0,0,0,0,0,40.678417,-73.729225
unspecified,0,0,0,0,0,0,40.692596,-73.79078
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.734486,-73.891754
following too closely unspecified,0,0,1,0,0,0,40.88399,-73.82641
driver inattention/distraction unspecified,0,0,0,1,0,0,40.683872,-73.95998
unspecified,0,0,0,0,0,0,40.799484,-73.92929
passing or lane usage improper unspecified,0,0,0,0,0,0,40.70839,-74.00482
unspecified,0,0,0,0,0,0,40.766502,-73.99418
alcohol involvement unspecified unspecified,0,0,0,0,0,1,40.676304,-73.816284
