text_features,speeding,signal_violation,careless_driving,distracted,wrong_lane,drink_drive,LATITUDE,LONGITUDE
driver inattention/distraction unspecified,0,0,0,1,0,0,40.659832,-73.897606
unspecified unspecified,0,0,0,0,0,0,40.808437,-73.904724
unspecified unspecified,0,0,0,0,0,0,40.672714,-73.75393
unspecified,0,0,0,0,0,0,40.662415,-73.94996
driver inattention/distraction unspecified,0,0,0,1,0,0,40.83978,-73.94322
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.672886,-73.99922
driver inattention/distraction pedestrian/bicyclist/other pedestrian error/confusion,0,0,0,1,0,0,40.595802,-73.764656
failure to yield right-of-way,0,1,0,0,0,0,40.752464,-73.98955
tire failure/inadequate,0,0,0,0,0,0,40.71082,-73.96853
driver inattention/distraction unspecified,0,0,0,1,0,0,40.556618,-74.203995
alcohol involvement unspecified unspecified,0,0,0,0,0,1,40.807552,-73.91922
unsafe lane changing unspecified,0,0,1,0,0,0,40.80165,-73.93434
turning improperly unspecified unspecified,0,0,0,0,0,0,40.665634,-73.75817
brakes defective unspecified,0,0,0,0,0,0,40.595203,-73.75603
unspecified unspecified,0,0,0,0,0,0,40.86177,-73.89868
unspecified,0,0,0,0,0,0,40.664055,-73.9427
following too closely driver inattention/distraction,0,0,1,1,0,0,40.828346,-73.94906
unspecified unspecified,0,0,0,0,0,0,40.64789,-73.91072
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.81934,-73.93012
unspecified unspecified,0,0,0,0,0,0,40.58776,-73.9562
passing too closely unspecified,0,0,1,0,0,0,40.590885,-73.786125
failure to yield right-of-way,0,1,0,0,0,0,40.880466,-73.88384
passing too closely unspecified,0,0,1,0,0,0,40.551266,-74.14962
following too closely unspecified,0,0,1,0,0,0,40.861828,-73.89286
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.68249,-73.97962
unspecified,0,0,0,0,0,0,40.736538,-73.865776
driver inattention/distraction unspecified,0,0,0,1,0,0,40.595104,-74.07541
other vehicular unspecified unspecified,0,0,0,0,0,0,40.771343,-73.905235
unspecified,0,0,0,0,0,0,40.67816,-73.897484
other vehicular driver inattention/distraction,0,0,0,1,0,0,40.81084,-73.95068
unspecified unspecified,0,0,0,0,0,0,40.74273,-73.95412
turning improperly turning improperly,0,0,0,0,0,0,40.67897,-73.75985
driver inattention/distraction unspecified,0,0,0,1,0,0,40.834473,-73.87226
fatigued/drowsy unspecified unspecified,0,0,0,0,0,0,40.892624,-73.859924
driver inattention/distraction failure to yield right-of-way,0,1,0,1,0,0,40.860664,-73.92171
driver inattention/distraction,0,0,0,1,0,0,40.704456,-73.98752
unspecified,0,0,0,0,0,0,40.71982,-73.94863
turning improperly unspecified,0,0,0,0,0,0,40.670856,-73.8852
unspecified,0,0,0,0,0,0,40.82583,-73.85777
driver inattention/distraction unspecified,0,0,0,1,0,0,40.888454,-73.84197
failure to yield right-of-way failure to yield right-of-way,0,1,0,0,0,0,40.709747,-73.82057
driver inattention/distraction unspecified,0,0,0,1,0,0,40.896656,-73.855576
driver inattention/distraction unspecified,0,0,0,1,0,0,40.74668,-73.98586
driver inattention/distraction unspecified,0,0,0,1,0,0,40.67897,-73.895706
unsafe speed unspecified unspecified,0,0,0,0,0,0,40.830845,-73.947235
driver inattention/distraction unspecified,0,0,0,1,0,0,40.732388,-73.943726
driver inattention/distraction unspecified,0,0,0,1,0,0,40.66826,-73.95428
backing unsafely unspecified,0,0,0,0,0,0,40.61855,-73.9395
unspecified unspecified,0,0,0,0,0,0,40.820187,-73.890686
passing or lane usage improper unspecified,0,0,0,0,0,0,40.86173,-73.91182
reaction to uninvolved vehicle following too closely,0,0,1,0,0,0,40.666737,-73.78628
driver inattention/distraction unspecified,0,0,0,1,0,0,40.759357,-73.9582
unspecified,0,0,0,0,0,0,40.619274,-74.03203
driver inattention/distraction unspecified,0,0,0,1,0,0,40.835884,-73.88341
failure to yield right-of-way,0,1,0,0,0,0,40.716476,-73.99283
following too closely unspecified,0,0,1,0,0,0,40.761993,-73.961784
other vehicular unspecified,0,0,0,0,0,0,40.834187,-73.909584
passing too closely unspecified unspecified,0,0,1,0,0,0,40.7982,-73.961815
driver inattention/distraction unspecified,0,0,0,1,0,0,40.578556,-74.1696
reaction to uninvolved vehicle unspecified,0,0,0,0,0,0,40.585037,-73.95645
turning improperly unspecified,0,0,0,0,0,0,40.602356,-73.75953
driver inattention/distraction unspecified,0,0,0,1,0,0,40.667236,-73.770004
driver inattention/distraction unsafe speed,0,0,0,1,0,0,40.800262,-73.94554
turning improperly unspecified,0,0,0,0,0,0,40.85853,-73.89084
driver inattention/distraction unspecified,0,0,0,1,0,0,40.675766,-73.81685
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.716667,-73.95206
driver inattention/distraction unspecified,0,0,0,1,0,0,40.606335,-74.18019
driver inattention/distraction unspecified,0,0,0,1,0,0,40.753304,-73.912575
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.680088,-73.80177
driver inattention/distraction unspecified,0,0,0,1,0,0,40.64531,-73.94608
failure to yield right-of-way,0,1,0,0,0,0,40.67086,-73.87424
unspecified unspecified,0,0,0,0,0,0,40.814438,-73.89308
failure to yield right-of-way,0,1,0,0,0,0,40.703857,-73.91851
traffic control disregarded unspecified,0,1,0,0,0,0,40.60172,-74.09143
backing unsafely unspecified,0,0,0,0,0,0,40.770065,-73.949394
unspecified unspecified unspecified,0,0,0,0,0,0,40.669758,-73.91019
unspecified,0,0,0,0,0,0,40.727238,-73.810875
traffic control disregarded unspecified,0,1,0,0,0,0,40.73273,-73.99382
turning improperly,0,0,0,0,0,0,40.810375,-73.95168
pedestrian/bicyclist/other pedestrian error/confusion,0,0,0,0,0,0,40.774807,-73.98442
passing too closely unspecified,0,0,1,0,0,0,40.847168,-73.93394
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.627037,-74.16483
driver inattention/distraction unspecified,0,0,0,1,0,0,40.700245,-73.92089
driver inattention/distraction unspecified,0,0,0,1,0,0,40.61475,-73.90055
failure to yield right-of-way failure to yield right-of-way,0,1,0,0,0,0,40.861862,-73.91275
backing unsafely unspecified,0,0,0,0,0,0,40.77632,-73.96002
driver inattention/distraction unspecified,0,0,0,1,0,0,40.575573,-73.99432
driver inattention/distraction unspecified,0,0,0,1,0,0,40.85159,-73.867805
unspecified unspecified,0,0,0,0,0,0,40.853683,-73.790276
driver inattention/distraction unspecified,0,0,0,1,0,0,40.728558,-73.82853
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.867687,-73.83509
unsafe lane changing unspecified,0,0,1,0,0,0,40.602886,-73.952095
failure to yield right-of-way failure to yield right-of-way,0,1,0,0,0,0,40.771572,-73.81323
passing or lane usage improper unspecified,0,0,0,0,0,0,40.700245,-73.92089
pavement slippery unspecified,0,0,0,0,0,0,40.768887,-73.90691
aggressive driving/road rage,0,0,0,0,0,0,40.841152,-73.942696
passing too closely,0,0,1,0,0,0,40.678566,-73.98778
driver inattention/distraction unspecified,0,0,0,1,0,0,40.75545,-73.962105
unspecified unspecified unspecified,0,0,0,0,0,0,40.639675,-73.931046
pedestrian/bicyclist/other pedestrian error/confusion unspecified,0,0,0,0,0,0,40.73555,-73.979355
unsafe lane changing turning improperly,0,0,1,0,0,0,40.703487,-73.799736
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.716644,-73.99582
unspecified unspecified,0,0,0,0,0,0,40.602684,-73.94232
unspecified,0,0,0,0,0,0,40.81329,-73.93517
unsafe speed unspecified unspecified,0,0,0,0,0,0,40.832314,-73.93161
passing or lane usage improper unspecified,0,0,0,0,0,0,40.597435,-73.74713
unspecified unspecified,0,0,0,0,0,0,40.81655,-73.91955
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.69962,-73.82122
following too closely unspecified,0,0,1,0,0,0,40.601437,-73.768196
unspecified unspecified,0,0,0,0,0,0,40.869358,-73.825325
unspecified unspecified,0,0,0,0,0,0,40.880135,-73.873085
turning improperly unspecified,0,0,0,0,0,0,40.709305,-73.84369
driver inattention/distraction unspecified,0,0,0,1,0,0,40.766827,-73.909294
unspecified unspecified unspecified,0,0,0,0,0,0,40.719055,-74.01245
unspecified,0,0,0,0,0,0,40.766743,-73.92597
unspecified unspecified,0,0,0,0,0,0,40.66279,-73.99887
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.644306,-74.01804
failure to yield right-of-way,0,1,0,0,0,0,40.700233,-73.95988
steering failure unspecified,0,0,0,0,0,0,40.752808,-73.99098
driver inattention/distraction unspecified,0,0,0,1,0,0,40.85019,-73.939644
unspecified,0,0,0,0,0,0,40.702938,-73.95026
unspecified,0,0,0,0,0,0,40.75868,-73.87552
unspecified,0,0,0,0,0,0,40.793472,-73.93726
headlights defective,0,0,0,0,0,0,40.762974,-73.825325
passing or lane usage improper unspecified unspecified,0,0,0,0,0,0,40.739384,-73.82268
unspecified unspecified,0,0,0,0,0,0,40.608727,-74.08839
driver inattention/distraction unspecified,0,0,0,1,0,0,40.5837,-73.94259
alcohol involvement unspecified,0,0,0,0,0,1,40.702255,-73.92008
following too closely,0,0,1,0,0,0,40.8047,-73.91243
unsafe speed reaction to uninvolved vehicle unspecified,0,0,0,0,0,0,0.0,0.0
driver inattention/distraction,0,0,0,1,0,0,40.821667,-73.915184
following too closely unspecified,0,0,1,0,0,0,40.7179,-73.83202
following too closely unspecified,0,0,1,0,0,0,40.704716,-73.92875
failure to yield right-of-way,0,1,0,0,0,0,40.763374,-73.99647
passing or lane usage improper unspecified,0,0,0,0,0,0,40.706062,-73.91626
passing too closely unspecified,0,0,1,0,0,0,40.58096,-73.96466
driver inattention/distraction unspecified,0,0,0,1,0,0,40.610443,-73.93462
driver inattention/distraction unspecified,0,0,0,1,0,0,40.77291,-73.962524
unspecified unspecified,0,0,0,0,0,0,40.762234,-73.98987
failure to yield right-of-way,0,1,0,0,0,0,40.64993,-73.93312
passing too closely unspecified,0,0,1,0,0,0,40.84932,-73.945145
driver inattention/distraction,0,0,0,1,0,0,40.863194,-73.86642
brakes defective unspecified unspecified,0,0,0,0,0,0,40.7802,-73.98755
alcohol involvement unspecified,0,0,0,0,0,1,40.824562,-73.87259
unspecified,0,0,0,0,0,0,40.73376,-73.93743
alcohol involvement unspecified unspecified,0,0,0,0,0,1,40.648075,-73.95959
unsafe speed failure to yield right-of-way unspecified,0,1,0,0,0,0,40.67901,-73.81259
unspecified unspecified,0,0,0,0,0,0,40.671597,-73.88018
driver inattention/distraction,0,0,0,1,0,0,40.648823,-73.951775
outside car distraction unspecified unspecified,0,0,0,1,0,0,40.638515,-73.94993
unspecified unspecified,0,0,0,0,0,0,40.828293,-73.861725
turning improperly unspecified,0,0,0,0,0,0,40.62556,-73.94664
driver inattention/distraction,0,0,0,1,0,0,40.666397,-73.755516
unspecified unspecified unspecified,0,0,0,0,0,0,40.617588,-73.96382
unspecified,0,0,0,0,0,0,40.870796,-73.9039
driver inattention/distraction unspecified,0,0,0,1,0,0,40.62156,-74.16849
driver inexperience,0,0,0,0,0,0,40.748985,-73.89162
driver inattention/distraction unspecified,0,0,0,1,0,0,40.74898,-73.93969
passing or lane usage improper unspecified,0,0,0,0,0,0,40.702408,-73.93502
driver inattention/distraction,0,0,0,1,0,0,40.68838,-73.80559
unspecified,0,0,0,0,0,0,40.831856,-73.86826
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.827423,-73.86823
following too closely unspecified,0,0,1,0,0,0,40.712727,-73.72899
unspecified unspecified,0,0,0,0,0,0,40.665257,-73.739555
unspecified unspecified,0,0,0,0,0,0,40.70052,-73.811066
passing too closely unspecified,0,0,1,0,0,0,40.757668,-73.99483
traffic control disregarded unspecified,0,1,0,0,0,0,40.787846,-73.840096
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.74125,-73.81912
driver inattention/distraction unsafe speed,0,0,0,1,0,0,40.833813,-73.86275
driver inattention/distraction unspecified,0,0,0,1,0,0,40.810093,-73.95309
unsafe lane changing unspecified,0,0,1,0,0,0,40.837803,-73.94215
other vehicular failure to yield right-of-way,0,1,0,0,0,0,40.813385,-73.94511
driver inexperience unspecified unspecified,0,0,0,0,0,0,40.87341,-73.87589
following too closely unspecified unspecified,0,0,1,0,0,0,40.652985,-73.95271
driver inattention/distraction unspecified,0,0,0,1,0,0,40.715355,-73.99773
backing unsafely unspecified,0,0,0,0,0,0,40.84715,-73.90125
driver inattention/distraction unspecified,0,0,0,1,0,0,40.70537,-73.775826
unspecified unspecified,0,0,0,0,0,0,40.619484,-73.918274
driver inattention/distraction unspecified,0,0,0,1,0,0,40.742065,-73.90036
alcohol involvement,0,0,0,0,0,1,40.679012,-73.758675
unsafe speed unspecified,0,0,0,0,0,0,40.700726,-73.94194
driver inattention/distraction unspecified,0,0,0,1,0,0,40.637012,-74.01515
pavement slippery,0,0,0,0,0,0,40.822388,-73.934296
backing unsafely unspecified,0,0,0,0,0,0,40.76286,-73.98941
following too closely unspecified,0,0,1,0,0,0,40.58524,-74.093414
driver inexperience,0,0,0,0,0,0,40.85814,-73.895744
unspecified,0,0,0,0,0,0,40.885433,-73.82924
unspecified unspecified,0,0,0,0,0,0,40.65719,-73.927055
unspecified,0,0,0,0,0,0,40.725994,-73.89843
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.653202,-73.93056
driver inattention/distraction,0,0,0,1,0,0,40.762012,-73.911
unspecified unspecified,0,0,0,0,0,0,40.608204,-73.920715
backing unsafely unspecified,0,0,0,0,0,0,40.82099,-73.89181
driver inattention/distraction unspecified,0,0,0,1,0,0,40.654312,-73.91759
animals action unspecified unspecified,0,0,0,0,0,0,40.886936,-73.8499
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.75455,-73.96252
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.739094,-73.91762
following too closely unspecified,0,0,1,0,0,0,40.743275,-73.77572
driver inattention/distraction unspecified,0,0,0,1,0,0,40.6553,-73.90318
driver inattention/distraction unspecified,0,0,0,1,0,0,40.60307,-74.14047
driver inattention/distraction unspecified,0,0,0,1,0,0,40.669704,-73.94774
unspecified,0,0,0,0,0,0,40.62126,-74.03143
following too closely unspecified,0,0,1,0,0,0,40.651974,-73.86542
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.74525,-73.95575
unspecified,0,0,0,0,0,0,40.880493,-73.903694
alcohol involvement unspecified unspecified,0,0,0,0,0,1,40.655754,-73.92403
following too closely unspecified,0,0,1,0,0,0,40.805737,-73.94065
unspecified,0,0,0,0,0,0,40.6238,-73.92351
passing too closely unspecified,0,0,1,0,0,0,40.686825,-73.93881
passing or lane usage improper unspecified,0,0,0,0,0,0,40.653862,-74.008286
following too closely unspecified,0,0,1,0,0,0,40.665497,-73.75573
unsafe speed unspecified,0,0,0,0,0,0,40.75781,-73.97353
driver inattention/distraction unspecified,0,0,0,1,0,0,40.574123,-74.00408
unspecified unspecified,0,0,0,0,0,0,40.69069,-73.85816
unsafe speed unspecified,0,0,0,0,0,0,40.72272,-73.95397
driver inattention/distraction unspecified,0,0,0,1,0,0,40.744747,-73.99717
unspecified,0,0,0,0,0,0,40.818012,-73.92519
passing or lane usage improper driver inattention/distraction,0,0,0,1,0,0,40.66064,-73.96068
other vehicular fell asleep other vehicular,0,0,0,0,0,0,40.831978,-73.93515
driver inattention/distraction unspecified,0,0,0,1,0,0,40.836697,-73.907104
driver inattention/distraction unspecified,0,0,0,1,0,0,40.875965,-73.83581
driver inexperience unspecified,0,0,0,0,0,0,40.662247,-73.93152
following too closely unspecified,0,0,1,0,0,0,40.787857,-73.951614
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.68804,-73.83275
unspecified unspecified,0,0,0,0,0,0,40.661243,-73.923164
failure to yield right-of-way,0,1,0,0,0,0,40.75896,-73.82985
driver inattention/distraction unspecified,0,0,0,1,0,0,40.75217,-73.97778
unspecified unspecified,0,0,0,0,0,0,40.724968,-74.00158
unspecified unspecified,0,0,0,0,0,0,40.757084,-73.91614
aggressive driving/road rage unspecified,0,0,0,0,0,0,40.838425,-73.941696
driver inattention/distraction unspecified,0,0,0,1,0,0,40.624893,-73.934326
driver inattention/distraction unspecified,0,0,0,1,0,0,40.672432,-73.911316
unspecified unspecified,0,0,0,0,0,0,40.652107,-73.93913
driver inattention/distraction unspecified,0,0,0,1,0,0,40.804054,-73.93664
following too closely unspecified,0,0,1,0,0,0,40.57944,-73.979614
unspecified unspecified,0,0,0,0,0,0,40.826275,-73.85971
following too closely unspecified,0,0,1,0,0,0,40.74254,-73.82631
passing or lane usage improper unspecified,0,0,0,0,0,0,40.7591,-73.99215
unspecified,0,0,0,0,0,0,40.75169,-73.88562
unsafe lane changing unspecified,0,0,1,0,0,0,40.80988,-73.90308
unspecified,0,0,0,0,0,0,40.667156,-73.9101
passing too closely unspecified,0,0,1,0,0,0,40.693497,-73.94594
following too closely unspecified,0,0,1,0,0,0,40.66357,-73.92502
passing too closely unspecified,0,0,1,0,0,0,40.67604,-73.84352
unspecified,0,0,0,0,0,0,40.835835,-73.877365
illnes unspecified,0,0,0,0,0,0,40.72696,-73.846535
unsafe speed unspecified,0,0,0,0,0,0,40.71512,-73.77358
passing or lane usage improper unspecified,0,0,0,0,0,0,40.686234,-73.82418
unspecified,0,0,0,0,0,0,40.82989,-73.855194
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.817387,-73.92277
traffic control disregarded unspecified,0,1,0,0,0,0,40.794052,-73.970375
unspecified unspecified,0,0,0,0,0,0,40.665676,-73.7483
alcohol involvement unspecified unspecified,0,0,0,0,0,1,40.509865,-74.24415
driver inattention/distraction unspecified,0,0,0,1,0,0,40.764626,-73.99555
unspecified unspecified,0,0,0,0,0,0,40.753857,-73.91764
unspecified unspecified unspecified,0,0,0,0,0,0,40.82949,-73.87326
pedestrian/bicyclist/other pedestrian error/confusion driver inattention/distraction,0,0,0,1,0,0,40.783146,-73.97833
backing unsafely,0,0,0,0,0,0,40.699665,-73.95924
unspecified unspecified,0,0,0,0,0,0,40.823082,-73.86722
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.685993,-73.83993
following too closely other vehicular,0,0,1,0,0,0,40.845024,-73.92632
traffic control disregarded unspecified unspecified,0,1,0,0,0,0,40.69019,-73.7771
unspecified,0,0,0,0,0,0,40.736214,-73.713486
unspecified,0,0,0,0,0,0,40.73594,-73.85887
unspecified,0,0,0,0,0,0,40.800507,-73.938156
driver inattention/distraction unspecified,0,0,0,1,0,0,40.74624,-73.89723
alcohol involvement unspecified,0,0,0,0,0,1,40.70739,-73.90895
unspecified unspecified unspecified,0,0,0,0,0,0,40.632435,-73.88818
unspecified,0,0,0,0,0,0,40.7597,-73.80031
unspecified unspecified,0,0,0,0,0,0,40.812664,-73.906334
passing too closely unspecified,0,0,1,0,0,0,40.72657,-73.85265
driver inattention/distraction unspecified,0,0,0,1,0,0,40.65471,-73.93072
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.831146,-73.85384
passing too closely unspecified,0,0,1,0,0,0,40.657867,-73.920815
steering failure unspecified unspecified,0,0,0,0,0,0,40.749638,-73.99905
alcohol involvement unspecified,0,0,0,0,0,1,40.69407,-73.82802
driver inattention/distraction,0,0,0,1,0,0,40.833755,-73.86175
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.838017,-73.914314
unspecified unspecified,0,0,0,0,0,0,40.60741,-73.926254
backing unsafely unspecified,0,0,0,0,0,0,40.697296,-73.92378
driver inattention/distraction,0,0,0,1,0,0,40.57563,-73.96395
unsafe speed unspecified,0,0,0,0,0,0,40.82831,-73.94315
unsafe speed unspecified,0,0,0,0,0,0,40.759575,-73.96803
driver inattention/distraction unspecified,0,0,0,1,0,0,40.72711,-73.80509
unspecified,0,0,0,0,0,0,40.90021,-73.8865
unspecified,0,0,0,0,0,0,40.59397,-73.97428
pavement defective,0,0,0,0,0,0,40.86446,-73.91895
unspecified unspecified,0,0,0,0,0,0,40.87831,-73.870155
driver inattention/distraction unspecified,0,0,0,1,0,0,40.63363,-74.138985
unsafe speed failure to yield right-of-way,0,1,0,0,0,0,40.86038,-73.88889
unspecified unspecified,0,0,0,0,0,0,40.65361,-73.9651
unspecified,0,0,0,0,0,0,40.821583,-73.94849
unspecified unspecified,0,0,0,0,0,0,40.85876,-73.89736
backing unsafely unspecified,0,0,0,0,0,0,40.793633,-73.94165
brakes defective,0,0,0,0,0,0,40.802753,-73.93358
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.639698,-74.11429
backing unsafely unspecified,0,0,0,0,0,0,40.6877,-73.91095
unspecified unspecified,0,0,0,0,0,0,40.820988,-73.89491
unspecified unspecified,0,0,0,0,0,0,40.635185,-73.92862
driver inattention/distraction unspecified,0,0,0,1,0,0,40.74005,-73.99915
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.7171,-73.9986
pedestrian/bicyclist/other pedestrian error/confusion unspecified,0,0,0,0,0,0,40.65723,-73.96025
unspecified,0,0,0,0,0,0,40.57594,-74.010155
driver inattention/distraction unspecified,0,0,0,1,0,0,40.747044,-73.98713
unspecified unspecified,0,0,0,0,0,0,40.849438,-73.91842
turning improperly unspecified,0,0,0,0,0,0,40.75927,-73.980896
passing too closely unspecified,0,0,1,0,0,0,40.585426,-74.10152
driver inattention/distraction unspecified,0,0,0,1,0,0,40.72597,-73.775566
passing or lane usage improper unspecified,0,0,0,0,0,0,40.68079,-73.99174
driver inattention/distraction,0,0,0,1,0,0,40.6705,-73.94488
unspecified unspecified,0,0,0,0,0,0,40.661663,-73.923615
driver inattention/distraction unspecified,0,0,0,1,0,0,40.712624,-73.95817
driver inattention/distraction unspecified,0,0,0,1,0,0,40.721985,-73.84523
view obstructed/limited unspecified,0,0,0,0,0,0,40.76824,-73.92428
following too closely unspecified,0,0,1,0,0,0,40.696373,-73.74525
driver inexperience driver inexperience,0,0,0,0,0,0,40.760536,-73.95836
alcohol involvement unspecified unspecified,0,0,0,0,0,1,40.874714,-73.84512
following too closely unspecified,0,0,1,0,0,0,40.656708,-74.00537
unspecified,0,0,0,0,0,0,40.76229,-73.986115
driver inexperience unspecified,0,0,0,0,0,0,40.632065,-74.038086
traffic control disregarded unspecified unspecified,0,1,0,0,0,0,40.623,-73.95905
unspecified unspecified,0,0,0,0,0,0,40.6568,-73.928
driver inattention/distraction unspecified,0,0,0,1,0,0,40.589417,-74.09458
unspecified unspecified,0,0,0,0,0,0,40.831684,-73.85562
backing unsafely unspecified,0,0,0,0,0,0,40.709152,-73.87173
unsafe speed unspecified,0,0,0,0,0,0,40.69309,-73.94296
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.686653,-73.80303
alcohol involvement unspecified,0,0,0,0,0,1,40.817574,-73.89624
passing or lane usage improper unspecified unspecified,0,0,0,0,0,0,40.72586,-73.90017
unspecified unspecified,0,0,0,0,0,0,40.82403,-73.94476
unspecified,0,0,0,0,0,0,40.829685,-73.8804
alcohol involvement unspecified,0,0,0,0,0,1,40.703033,-73.9599
unsafe speed unspecified,0,0,0,0,0,0,40.685432,-73.75514
passing or lane usage improper unspecified,0,0,0,0,0,0,40.75613,-73.96761
failure to yield right-of-way,0,1,0,0,0,0,40.627365,-74.166565
other vehicular driver inattention/distraction,0,0,0,1,0,0,40.824757,-73.94052
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.880623,-73.84047
passing too closely other vehicular,0,0,1,0,0,0,40.71579,-73.79749
alcohol involvement unspecified,0,0,0,0,0,1,40.708084,-73.92341
driver inattention/distraction unspecified,0,0,0,1,0,0,40.628723,-74.08304
following too closely driver inattention/distraction,0,0,1,1,0,0,40.788055,-73.94433
outside car distraction unspecified,0,0,0,1,0,0,40.798836,-73.93936
traffic control disregarded unspecified unspecified,0,1,0,0,0,0,40.742123,-73.92745
unsafe speed unspecified,0,0,0,0,0,0,40.844753,-73.90539
unspecified unspecified,0,0,0,0,0,0,40.816456,-73.86683
passing too closely unspecified,0,0,1,0,0,0,40.86166,-73.910965
unsafe lane changing unspecified,0,0,1,0,0,0,40.833233,-73.8282
unsafe speed unspecified,0,0,0,0,0,0,40.78935,-73.842804
unspecified unspecified,0,0,0,0,0,0,40.699547,-73.764366
unsafe lane changing unsafe speed unspecified,0,0,1,0,0,0,40.766552,-73.89476
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.74143,-73.94794
unspecified,0,0,0,0,0,0,40.648182,-73.94739
other vehicular unspecified,0,0,0,0,0,0,40.847576,-73.90633
driver inattention/distraction unspecified,0,0,0,1,0,0,40.570877,-74.16984
unspecified,0,0,0,0,0,0,40.87484,-73.910835
aggressive driving/road rage unspecified unspecified,0,0,0,0,0,0,40.650375,-73.92607
unspecified unspecified,0,0,0,0,0,0,40.62956,-73.94342
driver inattention/distraction other vehicular,0,0,0,1,0,0,40.601112,-73.75187
unspecified unspecified,0,0,0,0,0,0,40.84969,-73.78744
driver inattention/distraction,0,0,0,1,0,0,40.652554,-73.74656
failure to yield right-of-way unspecified unspecified,0,1,0,0,0,0,40.81689,-73.86383
driver inattention/distraction driver inexperience unspecified,0,0,0,1,0,0,40.67854,-73.88094
unspecified unspecified,0,0,0,0,0,0,40.80582,-73.90926
driver inattention/distraction unspecified,0,0,0,1,0,0,40.63948,-74.016174
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.726135,-73.82638
unspecified,0,0,0,0,0,0,40.712738,-73.83173
driver inattention/distraction unspecified,0,0,0,1,0,0,40.826275,-73.85971
following too closely unspecified,0,0,1,0,0,0,40.69764,-73.92932
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.66336,-73.95975
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.627052,-74.16485
unspecified,0,0,0,0,0,0,40.89455,-73.850044
driver inattention/distraction unspecified,0,0,0,1,0,0,40.64334,-73.92849
driver inexperience unspecified,0,0,0,0,0,0,40.66268,-73.95815
unspecified,0,0,0,0,0,0,40.67739,-73.7398
passing or lane usage improper unspecified,0,0,0,0,0,0,40.846764,-73.933784
unsafe speed unspecified,0,0,0,0,0,0,40.756725,-73.96
unspecified,0,0,0,0,0,0,40.887222,-73.90474
turning improperly failure to yield right-of-way,0,1,0,0,0,0,40.754612,-73.87667
unspecified unspecified,0,0,0,0,0,0,40.707954,-73.83715
driver inattention/distraction unspecified,0,0,0,1,0,0,40.84736,-73.8822
following too closely unspecified unspecified,0,0,1,0,0,0,40.76874,-73.90881
unspecified unspecified,0,0,0,0,0,0,40.808853,-73.88405
following too closely unspecified,0,0,1,0,0,0,40.665348,-73.72986
passing too closely unspecified,0,0,1,0,0,0,40.707268,-73.90267
backing unsafely unspecified,0,0,0,0,0,0,40.71338,-73.82874
traffic control disregarded unspecified,0,1,0,0,0,0,40.83315,-73.8871
unspecified unspecified,0,0,0,0,0,0,40.768887,-73.90691
unspecified,0,0,0,0,0,0,40.562828,-74.102615
driver inattention/distraction unspecified,0,0,0,1,0,0,40.70377,-73.93116
unspecified unspecified unspecified,0,0,0,0,0,0,40.649395,-73.9417
driver inexperience,0,0,0,0,0,0,40.81801,-73.96149
unspecified,0,0,0,0,0,0,40.827198,-73.93668
turning improperly unspecified unspecified,0,0,0,0,0,0,40.635185,-73.92862
oversized vehicle unspecified,0,0,0,0,0,0,40.727192,-73.89328
unspecified unspecified,0,0,0,0,0,0,40.648243,-73.929
following too closely unspecified,0,0,1,0,0,0,40.60981,-73.92251
following too closely following too closely,0,0,1,0,0,0,40.62194,-73.91753
passing or lane usage improper unspecified,0,0,0,0,0,0,40.686085,-73.982666
passing too closely unspecified,0,0,1,0,0,0,40.678425,-73.851875
driver inattention/distraction unspecified,0,0,0,1,0,0,40.737614,-73.79646
failure to yield right-of-way,0,1,0,0,0,0,40.675907,-73.969505
